Lag,Hour,Test,Validation,val_y_shape,,test_y_shape,,val_y_shape,
9,1,0.994,0.993,(75750, 24),(75750, 1),(180, 1)
3,1,0.993,0.992,(75753, 24),(75753, 1),(180, 1)
4,1,0.993,0.992,(75752, 24),(75752, 1),(180, 1)
5,1,0.993,0.992,(75752, 24),(75752, 1),(180, 1)
6,1,0.993,0.992,(75751, 24),(75751, 1),(180, 1)
7,1,0.993,0.992,(75751, 24),(75751, 1),(180, 1)
8,1,0.993,0.992,(75750, 24),(75750, 1),(180, 1)
10,1,0.993,0.992,(75749, 24),(75749, 1),(180, 1)
11,1,0.993,0.992,(75749, 24),(75749, 1),(180, 1)
13,1,0.993,0.992,(75748, 24),(75748, 1),(180, 1)
14,1,0.993,0.992,(75747, 24),(75747, 1),(180, 1)
15,1,0.993,0.992,(75747, 24),(75747, 1),(180, 1)
16,1,0.993,0.992,(75746, 24),(75746, 1),(180, 1)
17,1,0.993,0.992,(75746, 24),(75746, 1),(180, 1)
18,1,0.993,0.992,(75745, 24),(75745, 1),(180, 1)
19,1,0.993,0.992,(75745, 24),(75745, 1),(180, 1)
20,1,0.993,0.992,(75744, 24),(75744, 1),(180, 1)
21,1,0.993,0.992,(75744, 24),(75744, 1),(180, 1)
22,1,0.993,0.992,(75743, 24),(75743, 1),(180, 1)
23,1,0.993,0.992,(75743, 24),(75743, 1),(180, 1)
24,1,0.993,0.992,(75742, 24),(75742, 1),(180, 1)
25,1,0.993,0.992,(75742, 24),(75742, 1),(180, 1)
26,1,0.993,0.992,(75741, 24),(75741, 1),(180, 1)
27,1,0.992,0.992,(75741, 24),(75741, 1),(180, 1)
28,1,0.993,0.992,(75740, 24),(75740, 1),(180, 1)
29,1,0.993,0.992,(75740, 24),(75740, 1),(180, 1)
31,1,0.992,0.992,(75739, 24),(75739, 1),(180, 1)
32,1,0.993,0.992,(75738, 24),(75738, 1),(180, 1)
38,1,0.992,0.992,(75735, 24),(75735, 1),(180, 1)
40,1,0.993,0.992,(75734, 24),(75734, 1),(180, 1)
2,1,0.992,0.991,(75753, 24),(75753, 1),(180, 1)
12,1,0.992,0.991,(75748, 24),(75748, 1),(180, 1)
30,1,0.992,0.991,(75739, 24),(75739, 1),(180, 1)
33,1,0.992,0.991,(75738, 24),(75738, 1),(180, 1)
34,1,0.993,0.991,(75737, 24),(75737, 1),(180, 1)
37,1,0.992,0.991,(75736, 24),(75736, 1),(180, 1)
39,1,0.992,0.991,(75735, 24),(75735, 1),(180, 1)
41,1,0.992,0.991,(75734, 24),(75734, 1),(180, 1)
42,1,0.992,0.991,(75733, 24),(75733, 1),(180, 1)
43,1,0.992,0.991,(75733, 24),(75733, 1),(180, 1)
45,1,0.992,0.991,(75732, 24),(75732, 1),(180, 1)
47,1,0.992,0.991,(75731, 24),(75731, 1),(180, 1)
48,1,0.992,0.991,(75730, 24),(75730, 1),(180, 1)
50,1,0.992,0.991,(75729, 24),(75729, 1),(180, 1)
52,1,0.992,0.991,(75728, 24),(75728, 1),(180, 1)
